"Person","Wake Time","Morning Activity","Return Time","Current Status","Task","Task Subject","Paragraph"
"Daniel","at 5:30 AM","reads a book","by noon","in the cafe","buy snacks","for the project","Daniel wakes up at 5:30 AM every day. Daniel reads a book and returns by noon. Currently, Daniel is in the cafe. Daniel has to buy snacks for the project."
"Alice","at 6:30 AM","does yoga","in the evening","in the cafe","complete an assignment","for the family","Alice wakes up at 6:30 AM every day. Alice does yoga and returns in the evening. Currently, Alice is in the cafe. Alice has to complete an assignment for the family."
"Daniel","early","visits the gym","by 3 PM","at home","visit the doctor","for his team","Daniel wakes up early every day. Daniel visits the gym and returns by 3 PM. Currently, Daniel is at home. Daniel has to visit the doctor for his team."
"Alice","at 5:30 AM","attends online classes","in the evening","in the cafe","buy snacks","for her studies","Alice wakes up at 5:30 AM every day. Alice attends online classes and returns in the evening. Currently, Alice is in the cafe. Alice has to buy snacks for her studies."
"Daniel","at 6:30 AM","does yoga","by 5 PM","outside","plan the trip","for her studies","Daniel wakes up at 6:30 AM every day. Daniel does yoga and returns by 5 PM. Currently, Daniel is outside. Daniel has to plan the trip for her studies."
"Sophia","at 5:30 AM","goes to college","at night","outside","visit the doctor","for the project","Sophia wakes up at 5:30 AM every day. Sophia goes to college and returns at night. Currently, Sophia is outside. Sophia has to visit the doctor for the project."
"Emily","at 6:30 AM","reads a book","by 3 PM","in the park","visit the doctor","for the event","Emily wakes up at 6:30 AM every day. Emily reads a book and returns by 3 PM. Currently, Emily is in the park. Emily has to visit the doctor for the event."
"Daniel","at 7:00 AM","does yoga","by 3 PM","at the library","call a friend","for the project","Daniel wakes up at 7:00 AM every day. Daniel does yoga and returns by 3 PM. Currently, Daniel is at the library. Daniel has to call a friend for the project."
"Daniel","early","goes to college","by 5 PM","at home","plan the trip","for his team","Daniel wakes up early every day. Daniel goes to college and returns by 5 PM. Currently, Daniel is at home. Daniel has to plan the trip for his team."
"Sophia","at 7:00 AM","reads a book","by 3 PM","in the cafe","call a friend","for the event","Sophia wakes up at 7:00 AM every day. Sophia reads a book and returns by 3 PM. Currently, Sophia is in the cafe. Sophia has to call a friend for the event."
"Emily","early","goes to work","by 5 PM","outside","visit the doctor","for the event","Emily wakes up early every day. Emily goes to work and returns by 5 PM. Currently, Emily is outside. Emily has to visit the doctor for the event."
"Samantha","late in the morning","goes to college","by 5 PM","at home","buy snacks","for the family","Samantha wakes up late in the morning every day. Samantha goes to college and returns by 5 PM. Currently, Samantha is at home. Samantha has to buy snacks for the family."
"Daniel","at 5:30 AM","attends online classes","at night","in the cafe","call a friend","for her studies","Daniel wakes up at 5:30 AM every day. Daniel attends online classes and returns at night. Currently, Daniel is in the cafe. Daniel has to call a friend for her studies."
"Emily","early","does yoga","in the evening","at the library","plan the trip","for her studies","Emily wakes up early every day. Emily does yoga and returns in the evening. Currently, Emily is at the library. Emily has to plan the trip for her studies."
"John","late in the morning","reads a book","by noon","at the library","buy snacks","for his team","John wakes up late in the morning every day. John reads a book and returns by noon. Currently, John is at the library. John has to buy snacks for his team."
